sl no,education,experience,industry,skills,jobtitle,clust
0,1204,1,37,29,14772,0
1,1265,0,1,32,15055,0
2,84,110,29,14,9101,1
3,106,28,8,0,7533,3
4,1203,123,29,14,6136,2
5,1300,86,29,14,14668,1
7,2109,88,6,35,7832,0
8,2114,9,30,35,13444,3
9,40,11,29,29,4761,3
10,88,9,19,36,1845,1
11,35,110,29,14,8325,2
12,1560,85,29,14,4616,2
13,1225,104,29,23,6996,3
14,211,11,29,0,10264,2
15,1427,116,29,14,11472,4
18,37,112,29,21,1644,4
19,84,1,49,29,3636,2
20,40,11,29,29,532,1
21,41,112,29,14,6217,3
22,1976,104,30,6,3223,1
23,35,119,29,14,12593,3
24,41,16,29,14,5104,3
25,106,108,8,10,11381,2
26,35,12,8,36,14188,2
27,663,1,32,36,13793,1
28,1225,102,29,14,11162,4
29,2070,110,58,12,3614,3
30,40,103,29,24,13827,2
32,371,112,7,11,5044,2
33,40,11,29,29,2139,2
34,1672,112,44,40,1085,1
35,1769,108,29,21,5555,4
36,1848,111,29,22,14689,4
37,1777,101,29,14,11326,4
39,40,117,29,14,11310,2
40,84,140,29,14,6367,3
41,35,117,29,14,3333,1
42,41,86,29,14,3297,4
43,37,112,29,24,1645,4
44,1280,127,29,14,11982,0
45,263,0,8,29,13909,4
46,84,119,29,14,10626,2
47,795,104,48,2,726,3
48,41,102,29,14,4615,1
51,1265,19,32,29,14532,3
53,263,88,29,14,6125,1
54,1576,86,29,14,6237,3
55,32,12,31,36,14854,4
56,238,119,31,32,11580,3
57,1421,102,29,14,3529,4
58,166,88,32,29,7370,2
59,84,1,49,29,814,3
60,2216,135,48,31,6882,1
62,379,101,32,21,9358,2
63,933,20,7,29,9838,4
65,37,118,29,14,5776,0
66,260,1,46,30,2611,2
67,175,104,8,10,6079,2
69,1256,111,29,14,8392,4
70,263,5,50,36,2901,3
71,35,102,29,16,13803,4
72,40,5,5,39,9292,4
73,1784,116,29,14,11869,0
74,379,102,29,14,1608,4
76,35,85,49,11,10678,1
77,1421,11,29,14,4613,3
80,1321,101,32,5,14018,1
81,2041,88,29,14,8011,4
82,37,0,26,4,4803,4
83,849,140,50,0,3185,3
84,42,5,29,14,12313,0
85,40,86,49,11,4987,3
87,84,116,0,14,910,0
88,1288,24,8,19,13723,3
89,84,101,49,14,3303,3
90,398,4,57,36,10893,3
91,389,135,29,14,15241,3
92,40,5,52,11,5494,0
93,37,119,49,16,1606,2
95,35,116,49,11,1194,2
97,106,103,29,22,13655,1
99,1225,104,52,18,4023,3
100,1326,102,29,14,1602,3
101,35,12,50,11,973,2
104,1689,1,38,29,7776,1
105,35,1,49,11,5728,4
106,2027,88,29,20,1631,3
107,1321,1,29,14,5684,3
108,1083,22,44,32,7641,4
109,35,4,16,42,10283,3
111,752,24,36,0,2649,1
112,35,1,15,40,13128,3
113,1690,1,38,29,7771,0
114,1198,103,55,14,8430,1
117,82,119,29,24,8502,4
119,1256,104,29,14,12185,3
120,1780,11,29,14,7120,4
124,35,111,8,10,9275,2
125,1838,2,29,14,1201,3
126,35,5,50,36,11993,1
129,226,9,40,11,9939,4
131,1736,120,29,14,6769,3
132,35,1,49,11,5753,1
133,169,9,48,29,4040,1
134,1149,84,29,5,14899,1
137,84,110,29,16,7104,1
138,741,0,15,40,14816,3
139,1011,1,44,33,8282,0
141,35,101,29,22,2,1
143,35,10,49,11,5775,1
145,1580,0,34,22,13255,3
146,1274,132,38,40,9388,1
148,2,9,7,11,9947,1
149,2089,1,16,29,13578,0
150,16,87,30,11,12512,3
151,35,110,8,14,6973,3
152,35,104,16,42,8677,2
156,379,104,29,23,5574,3
157,37,117,49,14,6817,3
158,822,8,13,32,12836,1
159,35,127,8,10,6082,3
160,260,5,16,42,8920,3
161,2066,111,58,12,3614,1
163,2174,5,7,29,6161,4
166,1703,127,49,16,10105,0
167,846,2,7,0,2242,0
168,37,123,38,40,6810,3
169,82,117,29,14,13802,1
170,1321,0,29,14,3885,4
171,681,112,16,36,2203,1
172,84,88,8,36,839,1
174,949,24,16,36,14541,3
175,166,102,15,29,9397,2
177,40,88,29,24,8632,4
178,1225,110,29,14,11748,4
180,1256,112,29,25,4920,3
183,35,10,49,11,5388,2
185,35,120,29,14,11775,2
186,166,11,29,36,10866,4
187,1414,1,29,36,1395,2
188,1683,1,38,33,7754,1
189,1195,120,41,36,10924,4
190,2101,112,14,36,800,1
191,2,112,7,29,14667,3
193,25,11,36,31,6932,4
194,261,10,7,29,5826,1
195,35,112,49,16,8678,4
196,1195,119,29,15,3910,3
197,35,112,29,14,12936,4
198,1682,1,38,33,7750,2
199,6,9,16,42,7044,4
200,278,4,7,29,2908,4
201,1708,88,48,35,9706,1
202,681,85,1,32,14438,3
203,1749,117,29,14,8646,4
207,35,112,49,14,1523,4
208,260,12,38,33,3356,1
209,40,9,49,11,12477,3
210,40,101,29,14,13020,3
213,37,0,29,25,1200,1
214,37,19,49,14,5954,1
215,40,133,49,36,9200,3
216,1249,102,55,14,8431,4
217,1500,104,7,14,1170,3
218,84,9,29,14,1199,4
219,35,12,8,10,9278,2
220,1321,5,29,14,5642,4
221,2033,3,38,33,3613,2
222,41,28,29,19,7140,4
223,35,111,31,36,11635,4
224,35,85,49,11,1585,3
225,1242,103,29,14,12185,4
229,40,103,29,14,13984,0
230,84,133,29,14,11096,3
231,35,4,7,29,1565,1
232,1552,110,48,38,2647,0
233,1288,119,29,25,3910,2
235,847,87,8,0,988,3
236,46,103,29,5,4444,3
237,1461,104,32,28,12160,3
238,35,19,38,36,10903,3
239,40,119,29,11,5046,1
242,1860,109,55,27,3002,2
243,1653,112,57,35,7156,2
244,779,84,32,5,8022,1
248,1643,102,33,35,7295,1
249,40,104,58,36,1257,1
251,1315,112,29,14,8869,2
253,29,104,29,14,10551,3
254,84,101,0,30,514,3
256,35,102,29,15,13870,4
257,1167,5,38,33,4478,4
258,822,101,13,32,1307,3
259,84,133,29,11,927,4
261,805,112,4,36,7519,4
264,35,101,29,14,6277,1
265,42,8,13,12,9482,4
267,40,110,29,23,6239,3
268,1752,133,54,14,8958,1
269,177,125,8,10,739,1
270,37,64,40,42,269,3
272,84,120,29,18,12515,1
275,35,8,43,36,1697,3
276,35,101,49,11,5695,4
278,35,5,29,14,3671,0
279,35,8,49,11,9876,4
280,904,103,50,0,332,4
281,35,111,29,11,5667,0
282,84,101,29,14,11049,1
283,169,9,48,36,4042,3
284,260,5,50,36,10174,4
285,35,101,30,32,7644,1
287,84,136,57,9,5188,3
288,35,85,49,11,13393,2
289,1247,110,29,14,13989,4
293,35,1,49,11,5727,3
294,858,116,5,0,945,4
296,84,11,32,42,12089,3
298,84,104,29,11,5515,1
299,1705,119,42,6,11374,3
300,1197,111,29,14,2207,4
301,1908,123,13,36,7307,3
302,84,101,49,22,6276,3
304,299,104,50,40,937,1
305,35,2,49,11,8463,0
307,84,88,8,36,5329,1
308,84,120,7,29,13319,1
309,205,103,29,36,1845,1
311,1195,88,55,13,8387,4
312,2283,12,7,29,4170,3
313,952,11,29,17,5772,4
315,242,112,28,36,8115,1
317,2174,5,7,29,2914,1
318,1265,88,29,28,9555,3
319,275,10,29,11,6375,2
320,35,10,49,11,5387,1
321,37,12,43,36,1825,1
322,278,4,7,29,6046,4
323,1154,6,30,36,10843,1
325,35,85,49,11,14353,3
326,1667,11,6,35,11938,0
328,1381,111,12,6,13585,1
329,2145,100,5,36,441,1
330,1291,103,29,24,6961,3
332,40,101,29,14,13019,3
334,1036,24,44,6,11526,3
335,1562,1,29,13,5857,4
336,37,101,49,11,9928,1
338,846,102,7,0,9837,4
340,84,119,49,14,11789,1
341,35,120,8,10,1669,0
343,1193,85,29,14,6123,3
344,42,5,7,29,9312,0
346,84,9,29,14,6765,1
